"中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三)",中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),地区,工业销售产值(当年价格),工业销售产值(当年价格),资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,负债合计,地区,主营业务成本,销售费用,管理费用,财务费用,财务费用,财务费用,投资收益(损失以-号记),营业利润,利润总额,亏损企业亏损额,平均用工人数(万人)
"单位:亿元",单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,地区,,出口交货值,,固定资产合计,固定资产合计,固定资产合计,固定资产合计,流动资产合计,流动资产合计,流动资产合计,流动资产合计,负债合计,地区,主营业务成本,销售费用,管理费用,,利息收入,利息支出,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人)
"地区",主营业务成本,销售费用,管理费用,财务费用,财务费用,财务费用,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人),地区,,出口交货值,,,,固定资产原价,累计折旧,,应收账款,存货,存货,负债合计,全国,16468.48,324.10,1022.95,139.96,67.69,189.68,58.95,1048.84,1106.68,201.97,190.37
"地区",主营业务成本,销售费用,管理费用,,利息收入,利息支出,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人),地区,,出口交货值,,,,固定资产原价,累计折旧,,应收账款,,产成品,负债合计,北京,325.42,6.72,34.26,3.56,1.29,3.98,2.80,35.66,38.42,3.27,3.68
"福建",158.62,5.28,12.46,0.92,0.11,1.19,-3.85,8.65,5.76,5.23,3.62,福建,1698.17,457.84,1370.31,258.45,234.37,386.07,151.70,899.05,311.26,170.67,64.08,711.07,山东,1908.94,40.35,97.09,10.87,3.83,11.48,2.08,112.48,114.47,18.39,12.27
"江西",110.35,3.40,5.19,0.38,-0.08,0.47,0.82,12.65,13.86,0.14,1.88,江西,2615.76,220.50,1447.55,569.42,486.98999999999995,928.54,441.55,636.85,234.20,133.93,82.72,711.16,河南,763.78,16.75,22.41,4.13,0.49,4.03,0.85,78.79,77.84,0.62,10.31
"山东",717.03,25.07,35.88,7.59,0.49,5.38,1.47,58.08,59.19,1.47,6.51,山东,6472.58,288.79,5207.98,1196.81,1058.4700000000003,1795.88,737.41,3172.67,610.10,490.60,293.16,3093.71,湖北,557.87,9.01,33.66,4.83,0.38,4.70,0.34,14.48,17.87,9.31,7.72
"河南",326.95,10.34,21.12,2.23,-0.01,2.15,0.44,31.91,33.17,0.81,5.90,河南,3059.70,19.41,2189.60,652.36,583.97,785.15,201.18,1242.73,418.35,193.33,87.45,972.90,湖南,741.44,32.53,77.51,1.27,3.96,6.08,2.56,90.14,94.42,1.34,7.68
"湖北",144.07,7.61,14.37,1.76,0.08,1.57,-0.25,13.87,15.16,0.98,2.96,湖北,1813.06,88.35,1283.99,356.13,331.15,542.87,211.72,778.91,304.56,167.91,76.02,697.08,广东,998.90,19.17,55.06,5.08,1.30,8.01,21.78,57.76,58.97,12.63,14.12
"湖南",175.19,10.47,15.56,3.18,,2.69,-0.28,17.34,17.15,0.29,2.14,湖南,1686.76,37.63,1307.00,349.07,292.63,409.99,117.36,736.94,255.87,166.37,49.48,741.76,广西,135.27,1.96,14.50,0.17,0.38,0.64,0.01,14.61,14.34,0.24,2.88
"广东",673.98,38.75,73.89,0.12,1.46,3.77,6.78,55.75,61.63,7.17,22.01,广东,11869.62,3843.78,10079.31,1623.46,1555.8700000000001,3212.76,1656.89,7013.76,1952.16,1276.73,560.33,6225.76,海南,0.81,0.01,0.07,0.36,,0.36,,-0.42,-0.42,0.43,0.02
"广西",37.94,1.34,3.07,0.21,0.01,0.21,-0.08,3.30,3.32,0.06,0.56,广西,849.00,18.46,347.42,127.66,114.71000000000001,166.24,51.53,184.07,56.01,42.33,22.88,171.73,重庆,1181.77,26.80,82.65,15.21,4.15,15.96,8.32,78.36,82.05,4.83,16.57
"海南",0.24,0.94,0.60,-0.01,0.01,,0.04,0.48,0.60,,0.04,海南,60.17,19.05,105.57,33.58,29.72,44.72,15.00,67.55,28.91,7.39,4.01,52.24,四川,475.58,12.71,36.53,4.39,1.11,5.23,2.41,26.34,30.13,4.77,6.50
"重庆",122.96,8.26,12.65,1.29,0.10,1.30,0.69,10.10,10.93,0.39,2.34,重庆,1093.04,21.13,756.98,131.83,121.73,205.96,84.23,489.48,220.31,107.49,45.21,453.85,贵州,138.57,2.73,20.10,7.17,0.59,6.76,1.10,1.22,3.64,2.90,3.70
